iterations	Pair	pop1	pop2	proj1	proj2
50	GA22.KY51	GA22	KY51	14	12
50	GA22.MD5	GA22	MD5	14	6
50	GA22.NC105	GA22	NC105	14	16
50	GA22.NC107	GA22	NC107	14	14
50	GA22.NC108	GA22	NC108	14	16
50	GA22.NC109A	GA22	NC109A	14	8
50	GA22.NC109E	GA22	NC109E	14	20
50	GA22.NC110	GA22	NC110	14	10
50	GA22.NC91	GA22	NC91	14	16
50	GA22.OH64	GA22	OH64	14	16
50	GA22.PA101	GA22	PA101	14	24
50	GA22.PA102	GA22	PA102	14	22
50	GA22.PA103	GA22	PA103	14	8
50	GA22.PA104	GA22	PA104	14	22
50	GA22.PA94	GA22	PA94	14	14
50	GA22.PA95	GA22	PA95	14	10
50	GA22.PA27	GA22	PA27	14	10
50	GA22.TN92	GA22	TN92	14	14
50	GA22.VA111	GA22	VA111	14	14
50	GA22.VA131L	GA22	VA131L	14	20
50	GA22.VA73	GA22	VA73	14	16
50	GA22.VA85	GA22	VA85	14	6
50	GA22.VA86	GA22	VA86	14	10
50	GA22.VA93	GA22	VA93	14	6
50	KY51.MD5	KY51	MD5	12	6
50	KY51.NC105	KY51	NC105	12	16
50	KY51.NC107	KY51	NC107	12	14
50	KY51.NC108	KY51	NC108	12	16
50	KY51.NC109A	KY51	NC109A	12	8
50	KY51.NC109E	KY51	NC109E	12	20
50	KY51.NC110	KY51	NC110	12	10
50	KY51.NC91	KY51	NC91	12	16
50	KY51.OH64	KY51	OH64	12	16
50	KY51.PA101	KY51	PA101	12	24
50	KY51.PA102	KY51	PA102	12	22
50	KY51.PA103	KY51	PA103	12	8
50	KY51.PA104	KY51	PA104	12	22
50	KY51.PA94	KY51	PA94	12	14
50	KY51.PA95	KY51	PA95	12	10
50	KY51.PA27	KY51	PA27	12	10
50	KY51.TN92	KY51	TN92	12	14
50	KY51.VA111	KY51	VA111	12	14
50	KY51.VA131L	KY51	VA131L	12	20
50	KY51.VA73	KY51	VA73	12	16
50	KY51.VA85	KY51	VA85	12	6
50	KY51.VA86	KY51	VA86	12	10
50	KY51.VA93	KY51	VA93	12	6
50	MD5.NC105	MD5	NC105	6	16
50	MD5.NC107	MD5	NC107	6	14
50	MD5.NC108	MD5	NC108	6	16
50	MD5.NC109A	MD5	NC109A	6	8
50	MD5.NC109E	MD5	NC109E	6	20
50	MD5.NC110	MD5	NC110	6	10
50	MD5.NC91	MD5	NC91	6	16
50	MD5.OH64	MD5	OH64	6	16
50	MD5.PA101	MD5	PA101	6	24
50	MD5.PA102	MD5	PA102	6	22
50	MD5.PA103	MD5	PA103	6	8
50	MD5.PA104	MD5	PA104	6	22
50	MD5.PA94	MD5	PA94	6	14
50	MD5.PA95	MD5	PA95	6	10
50	MD5.PA27	MD5	PA27	6	10
50	MD5.TN92	MD5	TN92	6	14
50	MD5.VA111	MD5	VA111	6	14
50	MD5.VA131L	MD5	VA131L	6	20
50	MD5.VA73	MD5	VA73	6	16
50	MD5.VA85	MD5	VA85	6	6
50	MD5.VA86	MD5	VA86	6	10
50	MD5.VA93	MD5	VA93	6	6
50	NC105.NC107	NC105	NC107	16	14
50	NC105.NC108	NC105	NC108	16	16
50	NC105.NC109A	NC105	NC109A	16	8
50	NC105.NC109E	NC105	NC109E	16	20
50	NC105.NC110	NC105	NC110	16	10
50	NC105.NC91	NC105	NC91	16	16
50	NC105.OH64	NC105	OH64	16	16
50	NC105.PA101	NC105	PA101	16	24
50	NC105.PA102	NC105	PA102	16	22
50	NC105.PA103	NC105	PA103	16	8
50	NC105.PA104	NC105	PA104	16	22
50	NC105.PA94	NC105	PA94	16	14
50	NC105.PA95	NC105	PA95	16	10
50	NC105.PA27	NC105	PA27	16	10
50	NC105.TN92	NC105	TN92	16	14
50	NC105.VA111	NC105	VA111	16	14
50	NC105.VA131L	NC105	VA131L	16	20
50	NC105.VA73	NC105	VA73	16	16
50	NC105.VA85	NC105	VA85	16	6
50	NC105.VA86	NC105	VA86	16	10
50	NC105.VA93	NC105	VA93	16	6
50	NC107.NC108	NC107	NC108	14	16
50	NC107.NC109A	NC107	NC109A	14	8
50	NC107.NC109E	NC107	NC109E	14	20
50	NC107.NC110	NC107	NC110	14	10
50	NC107.NC91	NC107	NC91	14	16
50	NC107.OH64	NC107	OH64	14	16
50	NC107.PA101	NC107	PA101	14	24
50	NC107.PA102	NC107	PA102	14	22
50	NC107.PA103	NC107	PA103	14	8
50	NC107.PA104	NC107	PA104	14	22
50	NC107.PA94	NC107	PA94	14	14
50	NC107.PA95	NC107	PA95	14	10
50	NC107.PA27	NC107	PA27	14	10
50	NC107.TN92	NC107	TN92	14	14
50	NC107.VA111	NC107	VA111	14	14
50	NC107.VA131L	NC107	VA131L	14	20
50	NC107.VA73	NC107	VA73	14	16
50	NC107.VA85	NC107	VA85	14	6
50	NC107.VA86	NC107	VA86	14	10
50	NC107.VA93	NC107	VA93	14	6
50	NC108.NC109A	NC108	NC109A	16	8
50	NC108.NC109E	NC108	NC109E	16	20
50	NC108.NC110	NC108	NC110	16	10
50	NC108.NC91	NC108	NC91	16	16
50	NC108.OH64	NC108	OH64	16	16
50	NC108.PA101	NC108	PA101	16	24
50	NC108.PA102	NC108	PA102	16	22
50	NC108.PA103	NC108	PA103	16	8
50	NC108.PA104	NC108	PA104	16	22
50	NC108.PA94	NC108	PA94	16	14
50	NC108.PA95	NC108	PA95	16	10
50	NC108.PA27	NC108	PA27	16	10
50	NC108.TN92	NC108	TN92	16	14
50	NC108.VA111	NC108	VA111	16	14
50	NC108.VA131L	NC108	VA131L	16	20
50	NC108.VA73	NC108	VA73	16	16
50	NC108.VA85	NC108	VA85	16	6
50	NC108.VA86	NC108	VA86	16	10
50	NC108.VA93	NC108	VA93	16	6
50	NC109A.NC109E	NC109A	NC109E	8	20
50	NC109A.NC110	NC109A	NC110	8	10
50	NC109A.NC91	NC109A	NC91	8	16
50	NC109A.OH64	NC109A	OH64	8	16
50	NC109A.PA101	NC109A	PA101	8	24
50	NC109A.PA102	NC109A	PA102	8	22
50	NC109A.PA103	NC109A	PA103	8	8
50	NC109A.PA104	NC109A	PA104	8	22
50	NC109A.PA94	NC109A	PA94	8	14
50	NC109A.PA95	NC109A	PA95	8	10
50	NC109A.PA27	NC109A	PA27	8	10
50	NC109A.TN92	NC109A	TN92	8	14
50	NC109A.VA111	NC109A	VA111	8	14
50	NC109A.VA131L	NC109A	VA131L	8	20
50	NC109A.VA73	NC109A	VA73	8	16
50	NC109A.VA85	NC109A	VA85	8	6
50	NC109A.VA86	NC109A	VA86	8	10
50	NC109A.VA93	NC109A	VA93	8	6
50	NC109E.NC110	NC109E	NC110	20	10
50	NC109E.NC91	NC109E	NC91	20	16
50	NC109E.OH64	NC109E	OH64	20	16
50	NC109E.PA101	NC109E	PA101	20	24
50	NC109E.PA102	NC109E	PA102	20	22
50	NC109E.PA103	NC109E	PA103	20	8
50	NC109E.PA104	NC109E	PA104	20	22
50	NC109E.PA94	NC109E	PA94	20	14
50	NC109E.PA95	NC109E	PA95	20	10
50	NC109E.PA27	NC109E	PA27	20	10
50	NC109E.TN92	NC109E	TN92	20	14
50	NC109E.VA111	NC109E	VA111	20	14
50	NC109E.VA131L	NC109E	VA131L	20	20
50	NC109E.VA73	NC109E	VA73	20	16
50	NC109E.VA85	NC109E	VA85	20	6
50	NC109E.VA86	NC109E	VA86	20	10
50	NC109E.VA93	NC109E	VA93	20	6
50	NC110.NC91	NC110	NC91	10	16
50	NC110.OH64	NC110	OH64	10	16
50	NC110.PA101	NC110	PA101	10	24
